business.rating,business.review_count,business.is_claimed,business.name,business.categories,business.is_closed,business.location.city,business.location.neighborhoods,business.location.postal_code
3.5,92,TRUE,Inaka,Japanese,FALSE,Boston,Allston/Brighton,2134
4,865,TRUE,The Publick House,Pubs;American (Traditional);Belgian,FALSE,Brookline,,2445
4,46,TRUE,Back Bay Sandwich,Sandwiches,FALSE,Boston,Back Bay,2116
4,211,TRUE,Shojo,Chinese;Asian Fusion,FALSE,Boston,Chinatown,2111
4.5,31,TRUE,Cha Cha Cha Taqueria,Mexican;Caterers,FALSE,Boston,Back Bay,2116
4,738,TRUE,Diesel Cafe,Coffee & Tea;Sandwiches,FALSE,Somerville,Davis Square,2144
4,258,TRUE,The Abbey,American (New),FALSE,Brookline,,2445
4,194,TRUE,Sweetgreen,Salad;Gluten-Free;Vegetarian,FALSE,Boston,Back Bay,2116
4,479,TRUE,Anna's Taqueria,Mexican,FALSE,Brookline,Coolidge Corner,2446
4,220,FALSE,The Cellar,American (New);Bars,FALSE,Cambridge,Central Square,2138
4,83,FALSE,Skampa,Sandwiches,FALSE,Cambridge,East Cambridge,2141
4.5,40,FALSE,Super Burrito,Mexican,FALSE,Everett,,2149
4.5,114,TRUE,Bull McCabe's,Pubs;Music Venues;American (Traditional),FALSE,Somerville,,2143
4,93,TRUE,Ecco Pizzeria,Pizza;Salad;Italian,FALSE,Boston,Allston/Brighton,2134
3.5,67,FALSE,Joseph's Sub Shop and Pizza,Pizza,FALSE,Jamaica Plain,,2130
4,57,FALSE,Sweet Touch Cafe,Coffee & Tea;Sandwiches,FALSE,Cambridge,East Cambridge,2141
4.5,50,TRUE,Armenian Market & Bakery,Ethnic Food;Bakeries;Armenian,FALSE,Watertown,,2472
4,137,TRUE,Viga,Italian,FALSE,Boston,Back Bay,2116
4,190,FALSE,Japonaise Bakery and Cafe,Bakeries;Cafes,FALSE,Brookline,,2446
4,174,TRUE,Clover,Food Trucks;Fast Food,FALSE,Boston,Waterfront;Financial District;South Boston,2111
4,157,TRUE,Boston Kebab House,Turkish;Mediterranean,FALSE,Boston,Financial District,2109
4,495,TRUE,Soul Fire BBQ,Barbeque,FALSE,Allston,Allston/Brighton,2134
3,256,TRUE,Upper Crust Pizzeria,Pizza,FALSE,Brookline,Coolidge Corner,2446
4,127,TRUE,Neighborhoods Coffee And Crepes,Coffee & Tea;Cafes,FALSE,Boston,Fenway,2215
4,288,TRUE,Sam's,American (New);Burgers,FALSE,Boston,Waterfront;South Boston,2210
4,366,TRUE,Orinoco,Latin American;Caribbean,FALSE,Boston,South End,2118
4,327,TRUE,Caf̩nation,Coffee & Tea;Creperies;Breakfast & Brunch,FALSE,Brighton,,2135
4,231,FALSE,Trattoria Toscana,Italian,FALSE,Boston,Fenway,2215
4,130,TRUE,The Daily Catch,Seafood,FALSE,Brookline,,2446
4,242,TRUE,Shawarma King,Middle Eastern,FALSE,Brookline,Coolidge Corner,2446
3.5,265,TRUE,Baraka Caf̩,African;Mediterranean;Vegetarian,FALSE,Cambridge,Central Square,2139
4,149,TRUE,Istanbul'lu,Turkish;Wine Bars;Breakfast & Brunch,FALSE,Somerville,Teele Square,2144
4,73,TRUE,Daddy Jones,Bars;Greek,FALSE,Somerville,,2145
4.5,361,TRUE,Fish Market Sushi Bar,Sushi Bars;Japanese,FALSE,Allston,Allston/Brighton,2134
4,140,TRUE,Kolbeh of Kabob,Middle Eastern;Persian/Iranian,FALSE,Cambridge,,2139
4.5,25,FALSE,Gauchao Brazilian Cuisine,Brazilian;Barbeque;Buffets,FALSE,Somerville,,2145
4,194,TRUE,Tatte Bakery & Cafe,Bakeries;Cafes,FALSE,Mid-Cambridge,Kendall Square/MIT;East Cambridge,2142
4,122,TRUE,L'Impasto,Italian,FALSE,Cambridge,North Cambridge,2140
4,371,TRUE,Cambridge,,,,,
4,135,TRUE,Bostonia Public House,American (New);Lounges,FALSE,Boston,Financial District,2109
4,299,FALSE,Orinoco,Caribbean;Venezuelan,FALSE,Brookline,Brookline Village,2445
