,,,,,,,
Id2,Total; Estimate; Total population,Female; Estimate; Total population,Male; Estimate; Total population,Percent; Age group: 20-40,Estimate; INCOME AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS) - Median family income (dollars),Percent; EDUCATIONAL ATTAINMENT - Bachelor's degree and above,Percent; Population - Asian alone
2638,3562,1886,1676,15.3,66412,47.2,0.00%
2639,3240,1903,1337,22.6,60284,26,0.34%
2641,501,254,247,5,127596,67.9,0.00%
2642,4963,2552,2411,13.5,74449,45.6,2.01%
2643,17,17,0,52.9,-,47.1,0.00%
2644,4389,2249,2140,21,91016,39.9,0.27%
2645,9417,5191,4226,15.1,76545,34.9,1.48%
2646,1878,1012,866,11.4,73708,55.6,6.39%
2647,123,79,44,12.2,118542,76.6,0.00%
2648,7206,3594,3612,13.9,82244,41.3,0.15%
2649,13950,7336,6614,18.3,75631,32.8,0.33%
2650,1183,628,555,2.4,69583,45.9,0.51%
2651,20,10,10,0,-,100,0.00%
2652,1125,534,591,15.9,83125,48,0.00%
2653,5950,3260,2690,10.4,77179,51.3,0.54%
2655,3846,2123,1723,12,88170,45.6,0.00%
2657,2974,1262,1712,13.8,65855,58,0.64%
2659,741,397,344,17,83864,38.4,0.00%
2660,5881,3074,2807,15.8,64018,33.4,0.17%
